chapter;subtitle;type;german
Design;;;
;Einstieg;;
;;question;"Welche Gedanken verbindest du mit dem Wort ""Bestimmung""?"
;;question;Hat die Menschheit eine Bestimmung?
;;question;Welche Bestimmung/ Vision siehst du für dein Leben?
;;bible;Jer 29,11 HfA
;;question;Was ist Gottes Herz und Bestimmung für die Menschen - für dich?
;Wir Menschen;;
;;question;Wie wichtig sind Beziehungen in deinem Leben und wer sind deine wichtigsten Beziehungen? Wie wäre es komplett allein zu sein?
;;question;Was sind emotionale Grundbedürfnisse des Menschen?
;;question;Wie wichtig ist es für einen Menschen geliebt und angenommen zu sein und was ist, wenn das nicht der Fall ist?
;;question;Haben Menschen ein moralisches Empfinden/ein Bewusstsein/ ein Gerechtigkeitempfinden/kreative und schöpferische Fähigkeiten und warum?
;Wir Menschen und Gott;;
;;bible;1.Mose 1,26-27.31 (Elb)
;;question;Was sagt der Text über Gott und uns als Menschen aus?
;;question;Wir sind Gott ähnlich: Welche Rückschlüsse können wir aus den unvollkommenen Wesenseigenschaften des Menschen (Moral...) über das Wesen Gottes ziehen?
;;question;Warum denkst du spricht Gott im Text von “uns” ?
;;question;Was bedeutet unser Text für den Wert, Würde und Bestimmung des Menschen?
;Verbindung zwischen Gott und Mensch?;;
;;bible;Matthäus 22,37-40 (NGÜ)
;;question;Durch was soll die Verbindung von uns Menschen zu Gott geprägt sein?
;;question;Wie würde unsere Gesellschaft aussehen, wenn wir dieses Gebot befolgen?
;;question;Wie würden unsere Beziehungen aussehen?
;;question;Was ist Gottes Absicht mit diesen Geboten und was sagt das über sein Wesen aus?
;;bible;Epheser 1, 5
;;question;Was zeichnet die Beziehung von einem Kind zu seinen Eltern aus?
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du mit von diesem Kapitel?
;;question;Welche Ziele möchtest du dir für die kommenden Wochen setzen?
;Gebetsimpulsee;;
;;impulsee;Bestimmung, Beziehungen (Familie, Freunde), Begegnung mit Gott
Errettung;;;
;Einstieg;;
;;question;Bist du schon einmal aus Gefahr gerettet worden?
;;question;Ist die Welt in der wir leben gerecht, warum bzw. warum nicht und was läuft schief?
;Gottes Maßstab;;
;;question;Was denkst du fordert Gott von uns Menschen?
;;question;Denkst du du bist ein guter Mensch und warum? 
;;question;Welchen Maßstab legst du dabei an?
;;question;Erfüllst du deine eigenen Maßstäbe?
;;bible;Matthäus 15, 19
;;question;Kannst du dieser Bibelstelle zustimmen, warum oder warum nicht?
;;question;Gehen alle Gedanken in die Tat über? Sind sie deshalb weniger böse?
;;question;Was hält uns davon ab, dass wir böse Gedanken nicht in die Tat umsetzen?
;Trennung und Versöhnung;;
;;bible;Römer 6, 23
;;question;Was ist Sünde?
;;question;Was meint die Bibelstelle mit „Tod“?
;;question;Wäre Gott gerecht wenn er Sünden nicht verurteilt?
;;question;Was sind die Auswirkungen von Sünden in unserem Leben, in der Gesellschaft und unseren Beziehungen? (Diebstahl, Mord, Lügen, Neid, Hass, Unvergebenheit, Eifersucht…)
;;question;Wie gehst du mit eigener Schuld in deinem Leben um? Warum gehst du so damit um?
;;question;Kann man Wiedergutmachung leisten? 
;;question;Wo geht das nicht und warum? Welchen Ausweg gibt es für solche Fälle?
;;question;Was ist das ewige Leben? Wann fängt das ewige Leben an?
;;question;Wie bekommen wir das Geschenk des ewigen Lebens?
;Gnade;;
;;bible;Lukas 23,39-43
;;question;Hat es der Verbrecher verdient errettet zu werden, warum bzw. warum nicht?
;;question;Denkst du er hat ein Gutes Leben geführt?
;;question;Was unterscheidet die beiden Verbrecher?
;;question;Wieso wurde der zweite Verbrecher gerettet?
;;bible;2. Korinther 5, 21
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du mit aus diesem Kapitel?
;;question;Was hält dich davon ab das Geschenk Jesu, von dem wir gesprochen haben, anzunehmen?
;Gebetsimpulsee;;
;;impulse;Vergebung und Vergeben, Errettung, Jesus kennenlernen
Herrschaft und Nachfolge;;;
;Einstieg;;
;;question;Wo hast du gute und schlechte Leiterschaft erlebt?
;;question;Was brauchst du um jemandem zu folgen?
;Keine leeren Worte;;
;;bible;Lukas 6, 46 (Elb)
;;bible;Matthäus 7, 21
;;question;Was verlangt Jesus von seinen Nachfolgern?
;;question;“Practice what you preach” (praktiziere was du predigst) - warum?
;;question;Was heißt das Wort „Glaube“ für dich und wie hängt es mit deinem Handeln zusammen?
;;bible;Apostelgeschichte 2, 36
;;question;Von wem und wofür ist Jesus zum Herrn gemacht worden?
;;question;Unter welchen Bedingungen kannst du einem Anführer vertrauen?
;;question;Welche Vor- und Nachteile kann es haben einem Leiter zu folgen?
;;question;Was für ein Anführer ist Jesus?
;;youtube;Themenvideo: Der Messias
;Nach Gottes Willen leben;;
;;question;Denkst du es ist anstrengend Jesus nachzufolgen und seine Gebote zu befolgen und warum?
;;bible;Hesekiel 36, 26-27
;;question;Hast du schon einmal Dinge erlebt, die das Herz hart oder bitter machen?
;;question;Was bedeutet es ein lebendiges Herz zu haben?
;;question;Wie ist es möglich nach Gottes Willen leben? Ist Scheitern erlaubt?
;;question;Was denkst du, wie bekommt man dieses neue Herz?
;Das Zentrum von Jesu Willen;;
;;bible;Matthäus 22, 37
;;question;Kann man Liebe befehlen?
;;question;Was hat das Befolgen von Jesu Geboten mit unserem Verstand und unseren Gefühlen zu tun?
;;question;Ist es blinder Glaube oder darf ich meinen Verstand/Gedanken gebrauchen?
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;question;Wem folgst du/Wonach richtest du dein Leben aus?
;;question;Wie denkst du würde dein Leben aussehen, wenn Jesus dort Herr wäre? 
;;question;Glaubst du deine Prioritäten sind gerade richtig geordnet? Wie kannst du sie ggf. ändern?
;Gebetsimpulsee;;
;;impulse;Neues Herz, Prioritäten, Herrschaft Jesu (Lebensbereiche)
Umkehr;;;
;Einstieg;;
;;question;Was waren deine drei schönsten Erlebnisse mit deinem/r Vater/Mutter?
;;question;Was hättest du dir von deinem/r Vater/Mutter gewünscht?
;Verloren - Gefunden;;
;;bible;Gott stellt sich als unser himmlischer Vater vor: Geschichte verlorener Sohn (Bibel) - Lukas 15,11-32
;;question;Wie würdest du das Verhalten des Sohnes beschreiben, der den Vater verlässt. Was ist seine Motivation?
;;question;Was denkst du wie sich der Vater fühlt, als sein Sohn ihn verlässt?
;;question;Warum kehrt der Sohn um, und welche Befürchtungen hat er dabei?
;;question;Wie verhält der Vater sich als sein Sohn zurückkommt? Was überrascht dich?
;;question;Denkst du dieses Erlebnis hat den Sohn verändert, warum bzw. warum nicht?
;;question;Was denkst du treibt ihn in Zukunft an ein „guter Sohn“ zu sein und bei Fehlern immer wieder umzukehren?
;Meine Geschichte;;
;;action;Darf ich meine Geschichte zur Umkehr zu Gott mit dir teilen?
;;question;Was glaubst du persönlich wie Gott dich empfangen wird, wenn du umkehrst?
;;question;Was glaubst du ist der Herzschlag des Vaters für dich, was will er für dein Leben?
;Kerngedanke und Herausforderung;;
;;question;Wie ist deine Beziehung zu Gott im Moment? 
;;question;Willst du ihn als deinen liebenden Vater kennenlernen?
;Gebetsimpulsee;;
;;impulse;Gott erfahren, Umkehr zu Gott, Vergebung, Identität als geliebtes Kind, Wiederherstellung
Taufe;;;
;Einstieg;;
;;question;Hast du dich schon Mal wie neugeboren gefühlt?
;;question;Wo hättest du gerne die Zeit zurückgedreht?
;;question;Was weißt du über die Taufe, was verbindest du damit?
;;question;Sollte die Taufe deine eigene Entscheidung sein?
;Wassertaufe;;
;;bible;Apg. 2, 37-38
;;bible;Römer. 6, 3-4
;;question;Wer soll sich taufen lassen und aus welcher Motivation? Gibt es Voraussetzungen?
;;question;“...gestorben und begraben” was bedeutet das im Zusammenhang mit der Taufe?
;;question;Wenn wir ein neues Leben führen sollen, was war das alte und wie unterscheidet es sich vom neuen?
;;question;Durch welche Kraft sollen wir das neue Leben leben? Wie wird diese Kraft genannt?
;Taufe im Heiligen Geist;;
;;question;Hast du von Wundern oder Übernatürlichem gehört bzw. diese selbst erlebt?
;;question;Glaubst du an Wunder oder Übernatürliches, bist du offen für solche Erfahrungen? 
;;bible;Matthäus 3, 11
;;question;Was hast du bisher über die Taufe im Heiligen Geist gehört?
;;question;Was denkst du heißt es im heiligen Geist und Feuer getauft zu sein?
;;bible;Lukas 11, 13
;;bible;Apg. 8, 17
;;question;Wann kann diese Taufe passieren und wodurch geschieht sie?
;;bible;1. Korinther 14,1.3-5
;;question;Was ist für dich neu in dieser Bibelstelle?
;;question;Was sagt dein gesunder Menschenverstand über diese Bibelstelle?
;;question;Wozu schenkt Gott Christen diese Gaben?
;;question;Denkst du, du hast eine dieser Gaben (in Ansätzen)?
;;action;Darf ich für dich für ein prophetisches Wort/Heilung/Begegnung mit Gott beten?
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;question;Würdest du gerne getauft werden?
;;question;Würdest du gerne im hl. Geist getauft werden?
;;youtube;Themenvideo: Der Heilige Geist
;Gebetsimpulsee;;
;;implus;Taufe, neuer Anfang, Taufe im Heiligen Geist, Heilung, Wunder, Erfahrung mit Gott
Kommunikation;;;
;Einstieg;;
;;action;"Fragt euch gegenseitig: ""Was macht deinen Charakter aus, was ist deine Leidenschaft?"""
;;question;Kennt Ihr Euch jetzt besser und wovon war das Kennenlernen abhängig?
;Bibel;;
;;question;Was denkst du, hat Gott sich dabei gedacht uns die Bibel zu schenken?
;;bible;Johannes 8, 31-32
;;bible;Johannes 14, 6
;;bible;2. Timotheus 3, 16
;;question;Gemäß den Bibelstellen oben, warum sollen wir die Bibel lesen?
;;question;Was heißt es frei zu sein?
;;question;Was ist Wahrheit, wie definierst du Wahrheit?
;;question;Wie und Warum macht Wahrheit frei?
;Gebet;;
;;question;Wie hast du Gebet bisher erlebt?
;;question;Wie geht das, wie macht man das und wie oft?
;;question;Hast du schon einmal gebetet und warum?
;;question;Wie ging es dir dabei?
;;question;Wurde schon einmal ein Gebet erhört?
;;question;Wird jedes Gebet erhört?
;;bible;Matthäus 6,5-8
;;question;Darf ich vor Gott ehrlich sein?
;;question;Was ist eine falsche Motivation fürs Gebet und und was ist das Resultat?
;;question;Warum sollen wir uns zum Gebet zurückziehen?
;;question;Schließt das das gemeinsame Gebet aus, warum oder warum nicht?
;;action;Darf ich dir erzählen wie ich Gebet erlebe inklusive ein paar Highlights?
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;action;Darf ich dir eine Bibel schenken (oder eine App empfehlen)
;;question;Willst du diese Woche in der Bibel lesen? (Empfehlung: Lukasevangelium)
;;action;Darf ich dir kurz vorstellen, wie ich Zeit mit Gott, Bibel und Gebet gestalte?
;;question;Willst du diese Woche für eine Person bzw. konkrete Sache beten?
;;action;Darf ich für dich beten?
;Gebetsimpulse;;
;;impulse;Wahrheit, Freiheit, Gebetserhörung, Offenbarung aus der Bibel
Gemeinde;;;
;Einstieg;;
;;question;Wie hast du Kirche bisher erlebt?
;;question;Hast du schon verschiedene Gemeinden (mit verschiedenen Traditionen) besucht, wie war das für dich?
;;question;Welche Gemeinsamkeiten siehst du zwischen Gemeinde und Familie?
;Familie;;
;;bible;1. Thessalonicher 5, 11
;;bible;Matthäus 18, 21-22
;;bible;Hebräer 10,24
;;bible;1. Korinther 12, 27 - 28
;;question;Wovon soll das Gemeindeleben geprägt sein?
;;question;Wovon sollen die Beziehungen in der Gemeinde geprägt sein?
;;question;Wie fändest du es, wenn Gemeinde so gelebt werden würde?
;;question;Was denkst du ist das Ziel einer Gemeinde?
;;question;Erreichen Gemeinden heutzutage dieses Ziel? Wie wäre das möglich?
;;question;"""Eine Gemeinde ist kein Museum für Heilige, sondern ein Krankenhaus für Zerbrochene“ – ""Die Ortsgemeinde ist die Hoffnung für die Welt"" Was hältst du von diesen Aussage?"
;Gesellschaft;;
;;question;Soll Gemeinde Gesellschaft mitgestalten und Mißständen entgegenwirken? In welcher Form?
;;action;Darf ich mit dir ein paar Beispiele teilen, die ich kenne (eigene Gemeinde)?
;;bible;Jeremia 29,7
;;bible;Jesaja 1,17
;;bible;Matthäus 28, 19 - 20
;;question;Welche Aufträge hat die Gemeinde für unsere Gesellschaft?
;;question;Welche Widerstände sind zu erwarten, von wem und warum?
;;question;"Wie kann diese eigentlich ""unmögliche Aufgabe"" möglich werden?
"
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;action;Sollen wir in nächster Zeit gemeinsam einen Gottesdienst besuchen?
;;action;Möchtest du gemeinsam mal eine örtliche christliche Hilfsaktion besuchen?
;Gebetsimpulsee;;
;;impulse;Familie (Gemeinde), Gerechtigkeit schaffen, Berufung (Platz in der Gesellschaft) 
Lebendiger Glaube;;;
;Einstieg;;
;;question;Wie geht es dir nach allem, was wir bisher miteinander geredet haben, was hast du erlebt?
;;question;Haben sich Ansichten geändert von dir, welche und warum? Was hat sich als Vorurteil über den Glauben an Jesus herausgestellt?
;;question;Glaube versetzt Berge, hast du so etwas schon Mal erlebt?
;Theorie oder Kraft;;
;;bible;2. Thessalonicher 2, 13
;;question;Was ist der Unterschied zwischen einer Theorie und dem Reden Gottes?
;;question;Wie kann Gottes Wort seine Kraft in unserem alltäglichen Leben entfalten?
;Identität;;
;;question;"Was hörst du deinen Vater, deine Mutter, Freunde, deine innere Stimme... über dich als Person sagen? (Formuliere das jeweils in einem Satz; Bsp: ""Du musst fleißiger sein"")"
;;question;Wie sehr haben dich diese Aussagen in deinem Leben definiert? Stimmen diese Aussagen?
;;question;Was denkst du, sagt Jesus über dich und dein Leben?
;;bible;Joh 15,15 (HFA)
;;bible;Joh 1,12 (HFA)
;;bible;2. Kor 5,21 (EU)-EInheitsübersetzung
;;question;Was sagen diese Stellen über deine Identität in Jesus aus?
;;bible;Eph 1,17-20a (NGÜ)
;;question;Welche Hoffnung und reiches Erbe für dieses Leben hält Gott für uns bereit? 
;;question;"Wie wird dieses Erbe und diese Hoffung in unserem Leben ""aktiviert""?"
;Mission - inside out;;
;;bible;Markus 16, 15-16
;;question;Welche gute Nachricht sollen wir uns selbst und der ganzen Welt weitersagen?
;;bible;Jak 2,14 (HfA) in Auszügen: Welchen Wert hat es, wenn jemand behauptet, an Christus zu glauben, aber an seinen Taten ist das nicht zu erkennen? 
;;bible;Mt 12,33.34b-35
;;question;Aus einer veränderten Identität fließen andere Taten! - Stimmst du dieser Aussage im Bezug af den genannten Bibelstellen zu?
;;bible;Joh 7,38 HfA
;Kerngedanke und Herausforderung;;
;;question;Was nimmst du aus diesem Kapitel mit?
;;question;Was hast du in diesem Kapitel über deine Identität in Jesus gelernt?
;;action;Willst du in nächster Zeit Bibel lesen und die Warheiten, die Gott über dich spricht annehmen?
;;action;Ich würde dich gerne in eine Kleingruppe einladen, wo wir füreinander da sind und uns im lebendingen Glauben gegenseitig stärken und uns ermutigen einen Unterschied zu machen!
;;action;Was fließt aus deiner Identät und wie beeinflusst es andere Menschen/die Gesellschaft, bzw. wo siehst du in dir Potential?
